年度,鄉鎮,段名,地號,公告土地現值
112,2,16,102000,0
112,2,16,7757001,0
112,2,16,15503001,0
112,2,16,21278003,0
112,2,16,21733001,0
112,2,16,22009001,0
112,2,16,23441001,0
112,2,16,27895000,0
112,2,16,27984001,0
112,2,16,28411001,0
112,2,16,29252001,0
112,2,16,29393102,0
112,2,16,29393103,0
112,2,16,30272002,0
112,2,16,32349001,0
112,2,16,33422002,0
112,2,16,37531001,0
112,2,16,37533001,0
112,2,16,38365001,0
112,2,16,39524000,0
112,2,16,47202000,0
112,2,16,91300001,0
112,2,16,99990000,0
112,2,18,10000,4300
112,2,18,10001,4300
112,2,18,20000,4300
112,2,18,20001,4377
112,2,18,30000,4300
112,2,18,30001,4300
112,2,18,40000,4600
112,2,18,50000,4300
112,2,18,60000,4300
112,2,18,70000,4300
112,2,18,80000,4300
112,2,18,90000,4300
112,2,18,100000,4600
112,2,18,100001,4457
112,2,18,110000,4600
112,2,18,110001,3950
112,2,18,110002,3962
112,2,18,120000,4300
112,2,18,130000,4300
112,2,18,140000,4300
112,2,18,160000,4300
112,2,18,170000,4300
112,2,18,180000,4300
112,2,18,190000,4600
112,2,18,190001,3950
112,2,18,200000,4600
112,2,18,200001,3950
112,2,18,210000,4300
112,2,18,220000,4300
112,2,18,230000,4300
112,2,18,240000,4300
112,2,18,240001,4300
112,2,18,240002,4300
112,2,18,250000,4891
112,2,18,260000,4300
112,2,18,260001,4300
112,2,18,270000,4300
112,2,18,280000,4300
112,2,18,290000,4300
112,2,18,290001,4300
112,2,18,290002,4300
112,2,18,300000,4600
112,2,18,300001,3950
112,2,18,310000,4600
112,2,18,310001,4600
112,2,18,310002,4600
112,2,18,310003,4600
112,2,18,310004,4600
112,2,18,310005,4600
112,2,18,310006,4600
112,2,18,310007,4600
112,2,18,310008,3950
112,2,18,320000,4300
112,2,18,330000,4300
112,2,18,340000,4300
112,2,18,350000,4300
112,2,18,360000,5049
112,2,18,360001,5800
112,2,18,370000,4300
112,2,18,380000,4300
112,2,18,390000,4300
112,2,18,390001,4300
112,2,18,400000,4300
112,2,18,410000,4300
112,2,18,410001,4300
112,2,18,420000,4600
112,2,18,420001,4366
112,2,18,420002,3950
112,2,18,420003,3950
112,2,18,430000,4600
112,2,18,430001,3950
112,2,18,440000,4300
112,2,18,440001,4300
112,2,18,440002,4300
112,2,18,440003,4300
112,2,18,450000,4300
112,2,18,460000,4300
112,2,18,470000,4300
112,2,18,480000,4300
112,2,18,490000,4300
112,2,18,500000,4300
112,2,18,510000,4300
112,2,18,520000,4300
112,2,18,540000,4600
112,2,18,540001,3950
112,2,18,550000,4600
112,2,18,550001,3950
112,2,18,560000,4300
112,2,18,560001,4300
112,2,18,570000,4300
112,2,18,580000,4300
112,2,18,590000,4300
112,2,18,590001,4300
112,2,18,600000,4300
112,2,18,600001,4300
112,2,18,610000,4300
112,2,18,620000,4300
112,2,18,630000,4300
112,2,18,640000,4300
112,2,18,650000,4300
112,2,18,660000,4300
112,2,18,670000,4600
112,2,18,670001,3950
112,2,18,680000,4600
112,2,18,680001,3950
112,2,18,690000,4300
112,2,18,700000,4300
112,2,18,710000,4300
112,2,18,720000,4300
112,2,18,730000,4300
112,2,18,740000,4300
112,2,18,750000,4300
112,2,18,760000,4300
112,2,18,770000,4300
112,2,18,780000,4300
112,2,18,790000,4300
112,2,18,800000,4300
112,2,18,810000,4600
112,2,18,810001,3950
112,2,18,820000,4600
112,2,18,820001,3950
112,2,18,830000,4300
112,2,18,840000,4300
112,2,18,850000,4300
112,2,18,860000,4300
112,2,18,870000,4300
112,2,18,880000,4300
112,2,18,890000,4300
112,2,18,890001,4300
112,2,18,900000,4300
112,2,18,900001,4300
112,2,18,910000,4300
112,2,18,920000,4300
112,2,18,930000,4300
112,2,18,930001,4300
112,2,18,940000,4300
112,2,18,950000,4300
112,2,18,960000,4300
112,2,18,960001,4300
112,2,18,970000,4300
112,2,18,980000,4300
112,2,18,990000,4600
112,2,18,990001,3950
112,2,18,1000000,4600
112,2,18,1000001,3950
112,2,18,1010000,4300
112,2,18,1020000,4300
112,2,18,1030000,4300
112,2,18,1040000,4300
112,2,18,1050000,4300
112,2,18,1060000,4300
112,2,18,1070000,4300
112,2,18,1080000,4300
112,2,18,1090000,4300
112,2,18,1100000,4300
112,2,18,1110000,4300
112,2,18,1120000,4300
112,2,18,1130000,4300
112,2,18,1140000,4300
112,2,18,1150000,4300
112,2,18,1160000,4300
112,2,18,1170000,4300
112,2,18,1180000,4300
112,2,18,1190000,4300
112,2,18,1200000,4300
112,2,18,1210000,4600
112,2,18,1210001,3950
112,2,18,1220000,4600
112,2,18,1220001,3950
112,2,18,1230000,4300
112,2,18,1240000,4300
112,2,18,1250000,4300
112,2,18,1260000,4300
112,2,18,1270000,4300
112,2,18,1280000,4300
112,2,18,1290000,4300
112,2,18,1300000,4300
112,2,18,1310000,4300
112,2,18,1320000,4300
112,2,18,1330000,4300
112,2,18,1340000,4300
112,2,18,1350000,4300
112,2,18,1360000,4300
112,2,18,1370000,4300
112,2,18,1380000,4300
112,2,18,1390000,4300
112,2,18,1400000,4300
112,2,18,1410000,4300
112,2,18,1420000,4300
112,2,18,1430000,4600
112,2,18,1430001,3950
112,2,18,1440000,4600
112,2,18,1440001,4324
112,2,18,1440002,3950
112,2,18,1440003,3950
112,2,18,1450000,4300
112,2,18,1450001,4300
112,2,18,1450002,4300
112,2,18,1460000,4300
112,2,18,1470000,4300
112,2,18,1470001,4300
112,2,18,1470002,4300
112,2,18,1480000,4300
112,2,18,1490000,4300
112,2,18,1490001,4300
112,2,18,1490002,4300
112,2,18,1500000,4300
112,2,18,1510000,4300
112,2,18,1510001,4300
112,2,18,1510002,4300
112,2,18,1510003,4300
112,2,18,1520000,4300
112,2,18,1530000,4300
112,2,18,1530001,4300
112,2,18,1530002,4300
112,2,18,1540000,4300
112,2,18,1540001,4300
112,2,18,1540002,4300
112,2,18,1540003,4300
112,2,18,1550000,4300
112,2,18,1560000,4300
112,2,18,1570000,4300
112,2,18,1580000,4300
112,2,18,1590000,4300
112,2,18,1600000,4300
112,2,18,1610000,4300
